country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,2007,43.8,31889923,975.
Albania,Europe,2007,76.4,3600523,5937.
Algeria,Africa,2007,72.3,33333216,6223.
Angola,Africa,2007,42.7,12420476,4797.
Argentina,Americas,2007,75.3,40301927,12779.
Australia,Oceania,2007,81.2,20434176,34435.
Austria,Europe,2007,79.8,8199783,36126.
Bahrain,Asia,2007,75.6,708573,29796.
Bangladesh,Asia,2007,64.1,150448339,1391.
Belgium,Europe,2007,79.4,10392226,33693.
Argentina,Americas,2007,75.320,40301927,12779.379640
Bolivia,Americas,2007,65.554,9119152,3822.137084
Brazil,Americas,2007,72.390,190010647,9065.800825
Canada,Americas,2007,80.653,33390141,36319.235010
Chile,Americas,2007,78.553,16284741,13171.638850
Colombia,Americas,2007,72.889,44227550,7006.580419
Costa Rica,Americas,2007,78.782,4133884,9645.061420
Cuba,Americas,2007,78.273,11416987,8948.102923
Dominican Republic,Americas,2007,72.235,319622,6025.374752
Ecuador,Americas,2007,74.994,13755680,6873.262326
El Salvador,Americas,2007,71.878,6939688,5728.353514
Guatemala,Americas,2007,70.259,12572928,5186.050003
Haiti,Americas,2007,60.916,8502814,1201.637154
Honduras,Americas,2007,70.198,7483763,3548.330846
Jamaica,Americas,2007,72.567,2780132,7320.880262
Mexico,Americas,2007,76.195,108700891,11977.574960
Nicaragua,Americas,2007,72.899,5675356,2749.320965
Panama,Americas,2007,75.537,3242173,9809.185636
Paraguay,Americas,2007,71.752,6667147,4172.838464
Peru,Americas,2007,71.421,28674757,7408.905561
Puerto Rico,Americas,2007,78.746,3942491,19328.709010
Trinidad and Tobago,Americas,2007,69.819,1056608,18008.509240
United States,Americas,2007,78.242,301139947,42951.653090
Uruguay,Americas,2007,76.384,3447496,10611.462990
Venezuela,Americas,2007,73.747,26084662,11415.805690

